Site,treat,Block,plot_id,Burrows_OE_msq,crab_density_OE,BulkDens_OE_kg_msq,BGMass_OE_kg_msq,AGMass_OE_kg_msq,AG_Consum_Crab,AG_Consum_NoCrab,BG_Consum_Crab,BG_Consum_NoCrab
D,no_otter,1,D1,44,1,137.4522293,2.577070064,0.354140127,0,0.129,0.2507,0
D,no_otter,2,D2,24,0,126.5859873,2.919745223,0.245859873,0,0,0.103,0
D,no_otter,3,D3,6,1,120.7133758,4.900636943,1.222929936,0,0.036,0.302,0.318
D,no_otter,4,D4,8,1,134.7261146,1.830573248,0.36433121,0,0.034,0.382,0.163
D,no_otter,5,D5,84,0,140,3.849681529,0.268789809,0,0,0.368,0.318
E,no_otter,1,E1,0,0,128.1019108,4.067515924,0.398726115,0,0.293,0.583,0.045
E,no_otter,2,E2,0,2,119.7834395,4.678980892,0.787261146,0,0,0.247,0
E,no_otter,3,E3,6,0,118.4458599,3.769426752,1.393630573,0.392,0,0.552,0.176
E,no_otter,4,E4,10,0,138.5095541,5.61910828,1.021656051,0,0.05,0.248,0.121
E,no_otter,5,E5,12,1,108.7643312,7.184713376,0.987261146,0,0,0.577,0.251
J,no_otter,1,J1,36,1,113.8726115,1.059872611,0.384713376,na,na,na,na
J,no_otter,2,J2,16,1,142.7133758,1.924840764,0.933757962,na,na,na,na
J,no_otter,3,J3,0,4,164.1273885,2.56433121,0.994904459,na,na,na,na
J,no_otter,4,J4,36,0,142.6878981,1.058598726,0.284076433,na,na,na,na
J,no_otter,5,J5,50,3,14.7133758,2.122292994,0.489171975,na,na,na,na
N,no_otter,1,N1,0,0,125.9617834,5.984713376,0.315923567,na,na,na,na
N,no_otter,2,N2,18,0,136.4713376,6.705732484,1.510828025,na,na,na,na
N,no_otter,3,N3,40,3,145.3248408,2.963057325,0.826751592,na,na,na,na
N,no_otter,4,N4,42,2,76.5910828,2.220382166,0.844585987,na,na,na,na
N,no_otter,5,N5,26,7,131.4140127,2.101910828,0.700636943,na,na,na,na
O,no_otter,1,O1,2,4,150.0382166,2.047133758,0.422929936,na,na,na,na
O,no_otter,2,O2,48,9,129.388535,3.010191083,0.738853503,na,na,na,na
O,no_otter,3,O3,8,5,127.133758,2.193630573,0.430573248,na,na,na,na
O,no_otter,4,O4,0,4,143.8216561,2.017834395,0.90955414,na,na,na,na
O,no_otter,5,O5,40,4,137.0828025,1.885350318,,na,na,na,na
D,otter,1,D1,4,0,132.2547771,4.614012739,1.045859873,,,,
D,otter,2,D2,16,1,149.6433121,1.98343949,1.27388535,,,,
D,otter,3,D3,8,0,137.3375796,3.808917197,0.923566879,,,,
D,otter,4,D4,8,1,132.0127389,2.308280255,1.836942675,,,,
D,otter,5,D5,14,1,161.4394904,4.12866242,0.517197452,,,,
E,otter,1,E1,0,0,130.6878981,6.458598726,1.098089172,,,,
E,otter,2,E2,0,0,133.9490446,6.491719745,0.476433121,,,,
E,otter,3,E3,0,0,134.4713376,5.375796178,1.343949045,,,,
E,otter,4,E4,20,0,137.5031847,6.214012739,1.428025478,,,,
E,otter,5,E5,4,0,134.866242,6.371974522,1.098089172,,,,
J,otter,1,J1,8,0,147.1082803,3.091719745,0.741401274,,,,
J,otter,2,J2,24,3,138.1273885,3.242038217,0.850955414,,,,
J,otter,3,J3,2,0,158.6751592,2.535031847,1.247133758,,,,
J,otter,4,J4,28,2,138.7388535,1.979617834,0.856050955,,,,
J,otter,5,J5,10,2,96.51719745,1.870063694,0.652229299,,,,
N,otter,1,N1,0,1,133.4012739,4.881528662,2.568152866,,,,
N,otter,2,N2,8,1,150.1910828,6.675159236,1.252229299,,,,
N,otter,3,N3,36,4,143.0700637,4.29044586,0.870063694,,,,
N,otter,4,N4,0,1,122.9299363,2.647133758,0.90955414,,,,
N,otter,5,N5,22,0,140.5095541,2.867515924,1.007643312,,,,
O,otter,1,O1,10,4,142.9936306,2.773248408,0.810191083,,,,
O,otter,2,O2,10,2,121.1210191,1.540127389,0.770700637,,,,
O,otter,3,O3,24,1,141.9363057,2.332484076,1.420382166,,,,
O,otter,4,O4,22,0,131.2993631,2.171974522,0.684076433,,,,
O,otter,5,O5,48,2,133.2866242,2.082802548,0.982165605,,,,