biomass_consumed,Marsh_type,Treatment
0.129,Aboveground,Control
0,Aboveground,Control
0.036,Aboveground,Control
0.034,Aboveground,Control
0,Aboveground,Control
0.293,Aboveground,Control
0,Aboveground,Control
0,Aboveground,Control
0.05,Aboveground,Control
0,Aboveground,Control
0,Aboveground,Crab
0,Aboveground,Crab
0,Aboveground,Crab
0,Aboveground,Crab
0,Aboveground,Crab
0,Aboveground,Crab
0,Aboveground,Crab
0.392,Aboveground,Crab
0,Aboveground,Crab
0,Aboveground,Crab
0,Belowground,Control
0,Belowground,Control
0.318,Belowground,Control
0.163,Belowground,Control
0.318,Belowground,Control
0.045,Belowground,Control
0,Belowground,Control
0.176,Belowground,Control
0.121,Belowground,Control
0.251,Belowground,Control
0.2507,Belowground,Crab
0.103,Belowground,Crab
0.302,Belowground,Crab
0.382,Belowground,Crab
0.368,Belowground,Crab
0.583,Belowground,Crab
0.247,Belowground,Crab
0.552,Belowground,Crab
0.248,Belowground,Crab
0.577,Belowground,Crab