Site,Block,Treatment,plot_id,burrows_1_3cm_pre,per_cover_marsh
D,1,OE,D1OE,22,0.95
D,2,OE,D2OE,32,0.6
D,3,OE,D3OE,2,0.95
D,4,OE,D4OE,12,0.9
D,5,OE,D5OE,260,0.65
E,1,OE,E1OE,0,0.95
E,2,OE,E2OE,24,1
E,3,OE,E3OE,0,1
E,4,OE,E4OE,0,0.9
E,5,OE,E5OE,14,0.9
J,1,OE,J1OE,42,0.9
J,2,OE,J2OE,4,1
J,3,OE,J3OE,6,0.95
J,4,OE,J4OE,198,0.75
J,5,OE,J5OE,190,0.4
N,1,OE,N1OE,0,0.75
N,2,OE,N2OE,28,0.9
N,3,OE,N3OE,38,0.85
N,4,OE,N4OE,52,0.8
N,5,OE,N5OE,90,0.9
O,1,OE,O1OE,0,0.9
O,2,OE,O2OE,36,0.9
O,3,OE,O3OE,6,0.95
O,4,OE,O4OE,0,0.95
O,5,OE,O5OE,44,0.9
D,1,PC,D1PC,38,0.8
D,2,PC,D2PC,24,0.95
D,3,PC,D3PC,26,0.7
D,4,PC,D4PC,40,0.95
D,5,PC,D5PC,56,0.75
E,1,PC,E1PC,0,0.95
E,2,PC,E2PC,0,0.65
E,3,PC,E3PC,0,0.9
E,4,PC,E4PC,30,0.9
E,5,PC,E5PC,36,0.9
J,1,PC,J1PC,16,0.75
J,2,PC,J2PC,20,0.95
J,3,PC,J3PC,22,0.8
J,4,PC,J4PC,176,0.55
J,5,PC,J5PC,168,0.7
N,1,PC,N1PC,0,0.7
N,2,PC,N2PC,14,1
N,3,PC,N3PC,12,0.95
N,4,PC,N4PC,36,0.95
N,5,PC,N5PC,2,0.75
O,1,PC,O1PC,18,1
O,2,PC,O2PC,6,0.95
O,3,PC,O3PC,24,0.95
O,4,PC,O4PC,50,0.8
O,5,PC,O5PC,58,0.8