Period,Creek,Otter_per_ha,Pachy_consumed_per_day,Pachy_consumed_per_year,erosion_m_yr
Before_otter,A,0.02,0.41,150.17,0.26
Before_otter,B,0.054,1.14,414.49,0.08
Before_otter,C,0.047,1,365.44,0.42
Before_otter,D,0.074,1.57,571.41,0.3
Before_otter,E,0.191,4.02,1468.42,-0.22
Before_otter,F,0.03,0.64,232.17,0.13
Before_otter,G,0.055,1.16,424.7,0.2
Before_otter,J,0.1,2.12,773.51,0.47
Before_otter,L,0.002,0.03,11.73,0.22
Before_otter,M,0,0,0,0.14
Before_otter,N,0,0,0,0.24
Before_otter,O,0.005,0.1,37.94,0.34
Before_otter,P,0,0,0,0.41
After_otter,A,0.183,13.46,4912.58,0.09
After_otter,B,0.199,14.63,5341.7,-0.28
After_otter,C,0.131,9.64,3517.81,0.09
After_otter,D,0.609,44.79,16348.41,0.44
After_otter,E,0.189,13.89,5068.05,-0.2
After_otter,F,0.078,5.73,2092.06,-0.1
After_otter,G,0.163,12.02,4387.13,0.02
After_otter,J,0.489,35.94,13118.1,0.45
After_otter,L,0.07,5.15,1881,0.29
After_otter,M,0.101,7.44,2717.09,0.1
After_otter,N,0.077,5.66,2064.35,0.18
After_otter,O,0.054,4.01,1462.29,0.13
After_otter,P,0.023,1.71,625.67,0.3