site,block,plot_id,date,julian_day,year,sampling_period,Treatment,total_number_of_crabs_trapped,change_in_crab,otter_ha
D,1,D1,5/25/14,14145,2014,14-May,No Otter,14,na,0.214
D,2,D2,5/25/14,14145,2014,14-May,No Otter,0,na,0.214
D,3,D3,5/25/14,14145,2014,14-May,No Otter,9,na,0.214
D,4,D4,5/25/14,14145,2014,14-May,No Otter,0,na,0.214
D,5,D5,5/25/14,14145,2014,14-May,No Otter,0,na,0.214
D,1,D1,5/25/14,14145,2014,14-May,Otter,12,na,0.214
D,2,D2,5/25/14,14145,2014,14-May,Otter,16,na,0.214
D,3,D3,5/25/14,14145,2014,14-May,Otter,0,na,0.214
D,4,D4,5/25/14,14145,2014,14-May,Otter,0,na,0.214
D,5,D5,5/25/14,14145,2014,14-May,Otter,0,na,0.214
D,1,D1,9/10/14,14253,2014,14-Sep,No Otter,12,-2,0.214
D,2,D2,9/10/14,14253,2014,14-Sep,No Otter,12,12,0.214
D,3,D3,9/10/14,14253,2014,14-Sep,No Otter,14,5,0.214
D,4,D4,9/10/14,14253,2014,14-Sep,No Otter,20,20,0.214
D,5,D5,9/10/14,14253,2014,14-Sep,No Otter,10,10,0.214
D,1,D1,9/10/14,14253,2014,14-Sep,Otter,13,1,0.214
D,2,D2,9/10/14,14253,2014,14-Sep,Otter,9,-7,0.214
D,3,D3,9/10/14,14253,2014,14-Sep,Otter,10,10,0.214
D,4,D4,9/10/14,14253,2014,14-Sep,Otter,11,11,0.214
D,5,D5,9/10/14,14253,2014,14-Sep,Otter,6,6,0.214
D,1,D1,2/21/15,15052,2015,15-Feb,No Otter,13,-1,0.769
D,2,D2,2/21/15,15052,2015,15-Feb,No Otter,19,19,0.769
D,3,D3,2/21/15,15052,2015,15-Feb,No Otter,13,4,0.769
D,4,D4,2/21/15,15052,2015,15-Feb,No Otter,14,14,0.769
D,5,D5,2/21/15,15052,2015,15-Feb,No Otter,9,9,0.769
D,1,D1,2/21/15,15052,2015,15-Feb,Otter,8,-4,0.769
D,2,D2,2/21/15,15052,2015,15-Feb,Otter,10,-2,0.769
D,3,D3,2/21/15,15052,2015,15-Feb,Otter,13,13,0.769
D,4,D4,2/21/15,15052,2015,15-Feb,Otter,10,10,0.769
D,5,D5,2/21/15,15052,2015,15-Feb,Otter,7,7,0.769
D,1,D1,6/13/15,15164,2015,15-Jun,No Otter,11,-3,0.769
D,2,D2,6/13/15,15164,2015,15-Jun,No Otter,16,16,0.769
D,3,D3,6/13/15,15164,2015,15-Jun,No Otter,7,-2,0.769
D,4,D4,6/13/15,15164,2015,15-Jun,No Otter,11,11,0.769
D,5,D5,6/13/15,15164,2015,15-Jun,No Otter,6,6,0.769
D,1,D1,6/13/15,15164,2015,15-Jun,Otter,12,0,0.769
D,2,D2,6/13/15,15164,2015,15-Jun,Otter,14,2,0.769
D,3,D3,6/13/15,15164,2015,15-Jun,Otter,12,12,0.769
D,4,D4,6/13/15,15164,2015,15-Jun,Otter,9,9,0.769
D,5,D5,6/13/15,15164,2015,15-Jun,Otter,11,11,0.769
D,1,D1,8/9/15,15221,2015,15-Aug,No Otter,18,4,0.769
D,2,D2,8/9/15,15221,2015,15-Aug,No Otter,23,23,0.769
D,3,D3,8/9/15,15221,2015,15-Aug,No Otter,11,2,0.769
D,4,D4,8/9/15,15221,2015,15-Aug,No Otter,14,14,0.769
D,5,D5,8/9/15,15221,2015,15-Aug,No Otter,10,10,0.769
D,1,D1,8/9/15,15221,2015,15-Aug,Otter,19,7,0.769
D,2,D2,8/9/15,15221,2015,15-Aug,Otter,12,0,0.769
D,3,D3,8/9/15,15221,2015,15-Aug,Otter,19,19,0.769
D,4,D4,8/9/15,15221,2015,15-Aug,Otter,18,18,0.769
D,5,D5,8/9/15,15221,2015,15-Aug,Otter,13,13,0.769
D,1,D1,12/3/16,16338,2016,16-Dec,No Otter,1,-13,0.571
D,2,D2,12/3/16,16338,2016,16-Dec,No Otter,0,0,0.571
D,3,D3,12/3/16,16338,2016,16-Dec,No Otter,1,-8,0.571
D,4,D4,12/3/16,16338,2016,16-Dec,No Otter,1,1,0.571
D,5,D5,12/3/16,16338,2016,16-Dec,No Otter,0,0,0.571
D,1,D1,12/3/16,16338,2016,16-Dec,Otter,0,-12,0.571
D,2,D2,12/3/16,16338,2016,16-Dec,Otter,1,-11,0.571
D,3,D3,12/3/16,16338,2016,16-Dec,Otter,0,0,0.571
D,4,D4,12/3/16,16338,2016,16-Dec,Otter,1,1,0.571
D,5,D5,12/3/16,16338,2016,16-Dec,Otter,1,1,0.571
E,1,E1,5/17/14,14137,2014,14-May,No Otter,7,na,0.335
E,2,E2,5/17/14,14137,2014,14-May,No Otter,15,na,0.335
E,3,E3,5/17/14,14137,2014,14-May,No Otter,10,na,0.335
E,4,E4,5/17/14,14137,2014,14-May,No Otter,6,na,0.335
E,5,E5,5/17/14,14137,2014,14-May,No Otter,8,na,0.335
E,1,E1,5/17/14,14137,2014,14-May,Otter,18,na,0.335
E,2,E2,5/17/14,14137,2014,14-May,Otter,16,na,0.335
E,3,E3,5/17/14,14137,2014,14-May,Otter,9,na,0.335
E,4,E4,5/25/14,14145,2014,14-May,Otter,9,na,0.335
E,5,E5,5/25/14,14145,2014,14-May,Otter,7,na,0.335
E,1,E1,9/10/14,14253,2014,14-Sep,No Otter,12,5,0.335
E,2,E2,9/10/14,14253,2014,14-Sep,No Otter,17,2,0.335
E,3,E3,9/10/14,14253,2014,14-Sep,No Otter,10,0,0.335
E,4,E4,9/10/14,14253,2014,14-Sep,No Otter,9,3,0.335
E,5,E5,9/10/14,14253,2014,14-Sep,No Otter,6,-2,0.335
E,1,E1,9/10/14,14253,2014,14-Sep,Otter,13,-5,0.335
E,2,E2,9/10/14,14253,2014,14-Sep,Otter,11,-5,0.335
E,3,E3,9/10/14,14253,2014,14-Sep,Otter,8,-1,0.335
E,4,E4,9/10/14,14253,2014,14-Sep,Otter,16,7,0.335
E,5,E5,9/10/14,14253,2014,14-Sep,Otter,10,3,0.335
E,1,E1,2/21/15,15052,2015,15-Feb,No Otter,12,5,0.303
E,2,E2,2/21/15,15052,2015,15-Feb,No Otter,13,-2,0.303
E,3,E3,2/21/15,15052,2015,15-Feb,No Otter,6,-4,0.303
E,4,E4,2/21/15,15052,2015,15-Feb,No Otter,6,0,0.303
E,5,E5,2/21/15,15052,2015,15-Feb,No Otter,7,-1,0.303
E,1,E1,2/21/15,15052,2015,15-Feb,Otter,9,-9,0.303
E,2,E2,2/21/15,15052,2015,15-Feb,Otter,11,-5,0.303
E,3,E3,2/21/15,15052,2015,15-Feb,Otter,7,-2,0.303
E,4,E4,2/21/15,15052,2015,15-Feb,Otter,5,-4,0.303
E,5,E5,2/21/15,15052,2015,15-Feb,Otter,5,-2,0.303
E,1,E1,6/13/15,15164,2015,15-Jun,No Otter,12,5,0.303
E,2,E2,6/13/15,15164,2015,15-Jun,No Otter,13,-2,0.303
E,3,E3,6/13/15,15164,2015,15-Jun,No Otter,9,-1,0.303
E,4,E4,6/13/15,15164,2015,15-Jun,No Otter,5,-1,0.303
E,5,E5,6/13/15,15164,2015,15-Jun,No Otter,13,5,0.303
E,1,E1,6/13/15,15164,2015,15-Jun,Otter,11,-7,0.303
E,2,E2,6/13/15,15164,2015,15-Jun,Otter,14,-2,0.303
E,3,E3,6/13/15,15164,2015,15-Jun,Otter,12,3,0.303
E,4,E4,6/13/15,15164,2015,15-Jun,Otter,8,-1,0.303
E,5,E5,6/13/15,15164,2015,15-Jun,Otter,9,2,0.303
E,1,E1,8/9/15,15221,2015,15-Aug,No Otter,11,4,0.303
E,2,E2,8/9/15,15221,2015,15-Aug,No Otter,14,-1,0.303
E,3,E3,8/9/15,15221,2015,15-Aug,No Otter,9,-1,0.303
E,4,E4,8/9/15,15221,2015,15-Aug,No Otter,8,2,0.303
E,5,E5,8/9/15,15221,2015,15-Aug,No Otter,12,4,0.303
E,1,E1,8/9/15,15221,2015,15-Aug,Otter,15,-3,0.303
E,2,E2,8/9/15,15221,2015,15-Aug,Otter,20,4,0.303
E,3,E3,8/9/15,15221,2015,15-Aug,Otter,15,6,0.303
E,4,E4,8/9/15,15221,2015,15-Aug,Otter,10,1,0.303
E,5,E5,8/9/15,15221,2015,15-Aug,Otter,16,9,0.303
E,1,E1,12/3/16,16338,2016,16-Dec,No Otter,0,-7,0.127
E,2,E2,12/3/16,16338,2016,16-Dec,No Otter,2,-13,0.127
E,3,E3,12/3/16,16338,2016,16-Dec,No Otter,0,-10,0.127
E,4,E4,12/3/16,16338,2016,16-Dec,No Otter,0,-6,0.127
E,5,E5,12/3/16,16338,2016,16-Dec,No Otter,1,-7,0.127
E,1,E1,12/3/16,16338,2016,16-Dec,Otter,0,-18,0.127
E,2,E2,12/3/16,16338,2016,16-Dec,Otter,0,-16,0.127
E,3,E3,12/3/16,16338,2016,16-Dec,Otter,0,-9,0.127
E,4,E4,12/3/16,16338,2016,16-Dec,Otter,0,-9,0.127
E,5,E5,12/3/16,16338,2016,16-Dec,Otter,0,-7,0.127
J,1,J1,5/17/14,14137,2014,14-May,No Otter,8,na,0.217
J,2,J2,5/17/14,14137,2014,14-May,No Otter,8,na,0.217
J,3,J3,5/17/14,14137,2014,14-May,No Otter,5,na,0.217
J,4,J4,5/17/14,14137,2014,14-May,No Otter,8,na,0.217
J,5,J5,5/17/14,14137,2014,14-May,No Otter,15,na,0.217
J,1,J1,5/17/14,14137,2014,14-May,Otter,6,na,0.217
J,2,J2,5/17/14,14137,2014,14-May,Otter,8,na,0.217
J,3,J3,5/17/14,14137,2014,14-May,Otter,8,na,0.217
J,4,J4,5/17/14,14137,2014,14-May,Otter,20,na,0.217
J,5,J5,5/17/14,14137,2014,14-May,Otter,13,na,0.217
J,1,J1,9/10/14,14253,2014,14-Sep,No Otter,14,6,0.217
J,2,J2,9/10/14,14253,2014,14-Sep,No Otter,23,15,0.217
J,3,J3,9/10/14,14253,2014,14-Sep,No Otter,14,9,0.217
J,4,J4,9/10/14,14253,2014,14-Sep,No Otter,15,7,0.217
J,5,J5,9/10/14,14253,2014,14-Sep,No Otter,15,0,0.217
J,1,J1,9/10/14,14253,2014,14-Sep,Otter,9,3,0.217
J,2,J2,9/10/14,14253,2014,14-Sep,Otter,14,6,0.217
J,3,J3,9/10/14,14253,2014,14-Sep,Otter,15,7,0.217
J,4,J4,9/10/14,14253,2014,14-Sep,Otter,9,-11,0.217
J,5,J5,9/10/14,14253,2014,14-Sep,Otter,15,2,0.217
J,1,J1,2/21/15,15052,2015,15-Feb,No Otter,8,0,0.406
J,2,J2,2/21/15,15052,2015,15-Feb,No Otter,11,3,0.406
J,3,J3,2/21/15,15052,2015,15-Feb,No Otter,5,0,0.406
J,4,J4,2/21/15,15052,2015,15-Feb,No Otter,10,2,0.406
J,5,J5,2/21/15,15052,2015,15-Feb,No Otter,4,-11,0.406
J,1,J1,2/21/15,15052,2015,15-Feb,Otter,5,-1,0.406
J,2,J2,2/21/15,15052,2015,15-Feb,Otter,11,3,0.406
J,3,J3,2/21/15,15052,2015,15-Feb,Otter,6,-2,0.406
J,4,J4,2/21/15,15052,2015,15-Feb,Otter,11,-9,0.406
J,5,J5,2/21/15,15052,2015,15-Feb,Otter,8,-5,0.406
J,1,J1,6/13/15,15164,2015,15-Jun,No Otter,8,0,0.406
J,2,J2,6/13/15,15164,2015,15-Jun,No Otter,12,4,0.406
J,3,J3,6/13/15,15164,2015,15-Jun,No Otter,8,3,0.406
J,4,J4,6/13/15,15164,2015,15-Jun,No Otter,10,2,0.406
J,5,J5,6/13/15,15164,2015,15-Jun,No Otter,8,-7,0.406
J,1,J1,6/13/15,15164,2015,15-Jun,Otter,11,5,0.406
J,2,J2,6/13/15,15164,2015,15-Jun,Otter,11,3,0.406
J,3,J3,6/13/15,15164,2015,15-Jun,Otter,5,-3,0.406
J,4,J4,6/13/15,15164,2015,15-Jun,Otter,12,-8,0.406
J,5,J5,6/13/15,15164,2015,15-Jun,Otter,10,-3,0.406
J,1,J1,8/9/15,15221,2015,15-Aug,No Otter,8,0,0.406
J,2,J2,8/9/15,15221,2015,15-Aug,No Otter,11,3,0.406
J,3,J3,8/9/15,15221,2015,15-Aug,No Otter,8,3,0.406
J,4,J4,8/9/15,15221,2015,15-Aug,No Otter,10,2,0.406
J,5,J5,8/9/15,15221,2015,15-Aug,No Otter,9,-6,0.406
J,1,J1,8/9/15,15221,2015,15-Aug,Otter,11,5,0.406
J,2,J2,8/9/15,15221,2015,15-Aug,Otter,22,14,0.406
J,3,J3,8/9/15,15221,2015,15-Aug,Otter,15,7,0.406
J,4,J4,8/9/15,15221,2015,15-Aug,Otter,18,-2,0.406
J,5,J5,8/9/15,15221,2015,15-Aug,Otter,12,-1,0.406
J,1,J1,12/3/16,16338,2016,16-Dec,No Otter,1,-7,0.424
J,2,J2,12/3/16,16338,2016,16-Dec,No Otter,1,-7,0.424
J,3,J3,12/3/16,16338,2016,16-Dec,No Otter,4,-1,0.424
J,4,J4,12/3/16,16338,2016,16-Dec,No Otter,0,-8,0.424
J,5,J5,12/3/16,16338,2016,16-Dec,No Otter,3,-12,0.424
J,1,J1,12/3/16,16338,2016,16-Dec,Otter,0,-6,0.424
J,2,J2,12/3/16,16338,2016,16-Dec,Otter,3,-5,0.424
J,3,J3,12/3/16,16338,2016,16-Dec,Otter,0,-8,0.424
J,4,J4,12/3/16,16338,2016,16-Dec,Otter,2,-18,0.424
J,5,J5,12/3/16,16338,2016,16-Dec,Otter,2,-11,0.424
N,1,N1,5/25/14,14145,2014,14-May,No Otter,14,na,0.061
N,2,N2,5/25/14,14145,2014,14-May,No Otter,0,na,0.061
N,3,N3,5/25/14,14145,2014,14-May,No Otter,9,na,0.061
N,4,N4,5/25/14,14145,2014,14-May,No Otter,8,na,0.061
N,5,N5,5/25/14,14145,2014,14-May,No Otter,8,na,0.061
N,1,N1,5/25/14,14145,2014,14-May,Otter,13,na,0.061
N,2,N2,5/25/14,14145,2014,14-May,Otter,8,na,0.061
N,3,N3,5/25/14,14145,2014,14-May,Otter,12,na,0.061
N,4,N4,5/25/14,14145,2014,14-May,Otter,18,na,0.061
N,5,N5,5/25/14,14145,2014,14-May,Otter,7,na,0.061
N,1,N1,9/10/14,14253,2014,14-Sep,No Otter,10,-4,0.061
N,2,N2,9/10/14,14253,2014,14-Sep,No Otter,10,10,0.061
N,3,N3,9/10/14,14253,2014,14-Sep,No Otter,11,2,0.061
N,4,N4,9/10/14,14253,2014,14-Sep,No Otter,13,5,0.061
N,5,N5,9/10/14,14253,2014,14-Sep,No Otter,14,6,0.061
N,1,N1,9/10/14,14253,2014,14-Sep,Otter,12,-1,0.061
N,2,N2,9/10/14,14253,2014,14-Sep,Otter,6,-2,0.061
N,3,N3,9/10/14,14253,2014,14-Sep,Otter,14,2,0.061
N,4,N4,9/10/14,14253,2014,14-Sep,Otter,12,-6,0.061
N,5,N5,9/10/14,14253,2014,14-Sep,Otter,19,12,0.061
N,1,N1,2/21/15,15052,2015,15-Feb,No Otter,5,-9,0.077
N,2,N2,2/21/15,15052,2015,15-Feb,No Otter,8,8,0.077
N,3,N3,2/21/15,15052,2015,15-Feb,No Otter,3,-6,0.077
N,4,N4,2/21/15,15052,2015,15-Feb,No Otter,4,-4,0.077
N,5,N5,2/21/15,15052,2015,15-Feb,No Otter,10,2,0.077
N,1,N1,2/21/15,15052,2015,15-Feb,Otter,5,-8,0.077
N,2,N2,2/21/15,15052,2015,15-Feb,Otter,12,4,0.077
N,3,N3,2/21/15,15052,2015,15-Feb,Otter,8,-4,0.077
N,4,N4,2/21/15,15052,2015,15-Feb,Otter,0,-18,0.077
N,5,N5,2/21/15,15052,2015,15-Feb,Otter,0,-7,0.077
N,1,N1,6/13/15,15164,2015,15-Jun,No Otter,11,-3,0.077
N,2,N2,6/13/15,15164,2015,15-Jun,No Otter,11,11,0.077
N,3,N3,6/13/15,15164,2015,15-Jun,No Otter,7,-2,0.077
N,4,N4,6/13/15,15164,2015,15-Jun,No Otter,7,-1,0.077
N,5,N5,6/13/15,15164,2015,15-Jun,No Otter,8,0,0.077
N,1,N1,6/13/15,15164,2015,15-Jun,Otter,10,-3,0.077
N,2,N2,6/13/15,15164,2015,15-Jun,Otter,9,1,0.077
N,3,N3,6/13/15,15164,2015,15-Jun,Otter,6,-6,0.077
N,4,N4,6/13/15,15164,2015,15-Jun,Otter,14,-4,0.077
N,5,N5,6/13/15,15164,2015,15-Jun,Otter,4,-3,0.077
N,1,N1,8/9/15,15221,2015,15-Aug,No Otter,11,-3,0.077
N,2,N2,8/9/15,15221,2015,15-Aug,No Otter,14,14,0.077
N,3,N3,8/9/15,15221,2015,15-Aug,No Otter,14,5,0.077
N,4,N4,8/9/15,15221,2015,15-Aug,No Otter,9,1,0.077
N,5,N5,8/9/15,15221,2015,15-Aug,No Otter,10,2,0.077
N,1,N1,8/9/15,15221,2015,15-Aug,Otter,17,4,0.077
N,2,N2,8/9/15,15221,2015,15-Aug,Otter,18,10,0.077
N,3,N3,8/9/15,15221,2015,15-Aug,Otter,16,4,0.077
N,4,N4,8/9/15,15221,2015,15-Aug,Otter,15,-3,0.077
N,5,N5,8/9/15,15221,2015,15-Aug,Otter,15,8,0.077
N,1,N1,12/3/16,16338,2016,16-Dec,No Otter,0,-14,0.072
N,2,N2,12/3/16,16338,2016,16-Dec,No Otter,0,0,0.072
N,3,N3,12/3/16,16338,2016,16-Dec,No Otter,3,-6,0.072
N,4,N4,12/3/16,16338,2016,16-Dec,No Otter,2,-6,0.072
N,5,N5,12/3/16,16338,2016,16-Dec,No Otter,7,-1,0.072
N,1,N1,12/3/16,16338,2016,16-Dec,Otter,1,-12,0.072
N,2,N2,12/3/16,16338,2016,16-Dec,Otter,1,-7,0.072
N,3,N3,12/3/16,16338,2016,16-Dec,Otter,3,-9,0.072
N,4,N4,12/3/16,16338,2016,16-Dec,Otter,1,-17,0.072
N,5,N5,12/3/16,16338,2016,16-Dec,Otter,0,-7,0.072
O,1,O1,5/25/14,14145,2014,14-May,No Otter,23,na,0.043
O,2,O2,5/25/14,14145,2014,14-May,No Otter,8,na,0.043
O,3,O3,5/25/14,14145,2014,14-May,No Otter,14,na,0.043
O,4,O4,5/25/14,14145,2014,14-May,No Otter,8,na,0.043
O,5,O5,5/25/14,14145,2014,14-May,No Otter,8,na,0.043
O,1,O1,5/25/14,14145,2014,14-May,Otter,11,na,0.043
O,2,O2,5/25/14,14145,2014,14-May,Otter,13,na,0.043
O,3,O3,5/25/14,14145,2014,14-May,Otter,0,na,0.043
O,4,O4,5/25/14,14145,2014,14-May,Otter,15,na,0.043
O,5,O5,5/25/14,14145,2014,14-May,Otter,10,na,0.043
O,1,O1,9/10/14,14253,2014,14-Sep,No Otter,22,-1,0.043
O,2,O2,9/10/14,14253,2014,14-Sep,No Otter,18,10,0.043
O,3,O3,9/10/14,14253,2014,14-Sep,No Otter,13,-1,0.043
O,4,O4,9/10/14,14253,2014,14-Sep,No Otter,16,8,0.043
O,5,O5,9/10/14,14253,2014,14-Sep,No Otter,7,-1,0.043
O,1,O1,9/10/14,14253,2014,14-Sep,Otter,26,15,0.043
O,2,O2,9/10/14,14253,2014,14-Sep,Otter,15,2,0.043
O,3,O3,9/10/14,14253,2014,14-Sep,Otter,15,15,0.043
O,4,O4,9/10/14,14253,2014,14-Sep,Otter,16,1,0.043
O,5,O5,9/10/14,14253,2014,14-Sep,Otter,13,3,0.043
O,1,O1,2/21/15,15052,2015,15-Feb,No Otter,6,-17,0.078
O,2,O2,2/21/15,15052,2015,15-Feb,No Otter,8,0,0.078
O,3,O3,2/21/15,15052,2015,15-Feb,No Otter,10,-4,0.078
O,4,O4,2/21/15,15052,2015,15-Feb,No Otter,6,-2,0.078
O,5,O5,2/21/15,15052,2015,15-Feb,No Otter,7,-1,0.078
O,1,O1,2/21/15,15052,2015,15-Feb,Otter,3,-8,0.078
O,2,O2,2/21/15,15052,2015,15-Feb,Otter,12,-1,0.078
O,3,O3,2/21/15,15052,2015,15-Feb,Otter,0,0,0.078
O,4,O4,2/21/15,15052,2015,15-Feb,Otter,16,1,0.078
O,5,O5,2/21/15,15052,2015,15-Feb,Otter,6,-4,0.078
O,1,O1,6/13/15,15164,2015,15-Jun,No Otter,11,-12,0.078
O,2,O2,6/13/15,15164,2015,15-Jun,No Otter,7,-1,0.078
O,3,O3,6/13/15,15164,2015,15-Jun,No Otter,16,2,0.078
O,4,O4,6/13/15,15164,2015,15-Jun,No Otter,11,3,0.078
O,5,O5,6/13/15,15164,2015,15-Jun,No Otter,7,-1,0.078
O,1,O1,6/13/15,15164,2015,15-Jun,Otter,6,-5,0.078
O,2,O2,6/13/15,15164,2015,15-Jun,Otter,13,0,0.078
O,3,O3,6/13/15,15164,2015,15-Jun,Otter,14,14,0.078
O,4,O4,6/13/15,15164,2015,15-Jun,Otter,14,-1,0.078
O,5,O5,6/13/15,15164,2015,15-Jun,Otter,12,2,0.078
O,1,O1,8/9/15,15221,2015,15-Aug,No Otter,22,-1,0.078
O,2,O2,8/9/15,15221,2015,15-Aug,No Otter,12,4,0.078
O,3,O3,8/9/15,15221,2015,15-Aug,No Otter,12,-2,0.078
O,4,O4,8/9/15,15221,2015,15-Aug,No Otter,13,5,0.078
O,5,O5,8/9/15,15221,2015,15-Aug,No Otter,10,2,0.078
O,1,O1,8/9/15,15221,2015,15-Aug,Otter,13,2,0.078
O,2,O2,8/9/15,15221,2015,15-Aug,Otter,14,1,0.078
O,3,O3,8/9/15,15221,2015,15-Aug,Otter,13,13,0.078
O,4,O4,8/9/15,15221,2015,15-Aug,Otter,12,-3,0.078
O,5,O5,8/9/15,15221,2015,15-Aug,Otter,12,2,0.078
O,1,O1,12/3/16,16338,2016,16-Dec,No Otter,4,-19,0.063
O,2,O2,12/3/16,16338,2016,16-Dec,No Otter,9,1,0.063
O,3,O3,12/3/16,16338,2016,16-Dec,No Otter,5,-9,0.063
O,4,O4,12/3/16,16338,2016,16-Dec,No Otter,4,-4,0.063
O,5,O5,12/3/16,16338,2016,16-Dec,No Otter,4,-4,0.063
O,1,O1,12/3/16,16338,2016,16-Dec,Otter,4,-7,0.063
O,2,O2,12/3/16,16338,2016,16-Dec,Otter,2,-11,0.063
O,3,O3,12/3/16,16338,2016,16-Dec,Otter,1,1,0.063
O,4,O4,12/3/16,16338,2016,16-Dec,Otter,0,-15,0.063
O,5,O5,12/3/16,16338,2016,16-Dec,Otter,2,-8,0.063